new entry "Target_RangersCompanion_Raven_WHITE"
type "SpellData"
data "SpellType" "Target"
data "Level" "0"
data "SpellSchool" "Conjuration"
data "SpellProperties" "GROUND:Summon(c1774cd6-ae7a-4acb-8cd7-e62c33f98a54,Permanent,,,'FindFamiliarStack',UNSUMMON_ABLE);"
data "TargetConditions" "CanStand('c1774cd6-ae7a-4acb-8cd7-e62c33f98a54') and not Character() and not Self()"
data "Cooldown" "OncePerShortRest"
data "TargetRadius" "18"
data "Icon" "Action_Ranger_RangersCompanion_Raven"
data "DisplayName" "ha2ef0ba3g8554g4078g80f4g6f27f8844a28"
data "Description" "h0196b91eg0ce0g4191g8421gf8d8391c08c4"
data "TooltipUpcastDescription" "6ff1780a-855a-414c-a8bf-811251537206"
data "CastSound" "Spell_Cast_Summon_FindFamiliar_L1to3"
data "TargetSound" "Spell_Impact_Summon_FindFamiliar_L1to3"
data "CastTextEvent" "Cast"
data "UseCosts" "ActionPoint:1"
data "SpellAnimation" "6f42f5f3-7a5a-4441-a02e-71b0450ac4b7,,;,,;605d49b4-03b9-47f6-96e9-7f80e6be7514,,;fbf20742-9dbf-475b-9ff5-42e4b08064ad,,;42aaefdc-cf9b-4249-b159-285041851f69,,;,,;20e11c98-fff9-4417-88de-5bcc2368a1bd,,;,,;,,"
data "VerbalIntent" "Summon"
data "SpellFlags" "IsSpell;HasSomaticComponent;HasVerbalComponent;HasHighGroundRangeExtension;CannotTargetCharacter;CannotTargetItems"
data "PrepareEffect" "a74686e9-9ff0-4108-8f0d-107faa2bcd26"
data "CastEffect" "23d05225-027b-4656-97f8-564b185d37a2"
